FID,xcnt,ycnt
917,227.552426573,215.386292087
918,227.370263017,213.524652575
919,186.538244751,204.453856361
920,186.762976487,202.051381006
921,186.32290594,203.556210996
922,186.017712332,203.172524516
923,186.349560168,203.756167025
924,186.421035614,203.484713385
925,186.608693516,203.682200189
926,186.797513386,204.377763561
927,186.914512343,202.31416944
928,187.518832229,201.958375272
929,190.95108881,219.713854793
930,195.833125113,206.149625774
931,194.823307831,204.878041678
932,230.532006418,214.674365094
933,227.082321263,214.169802252
934,226.937017078,215.317504622
935,226.68696305,215.566960836
936,226.153430255,215.008160468
937,194.395248034,205.960301387
938,194.342707994,206.530968287
939,190.247033493,200.178976767
940,191.985061395,199.352785261
941,173.061207835,219.503236026
942,184.426127751,195.560565578
943,175.247284715,196.26111782
944,203.176624571,200.992924333
945,202.407993318,202.774292501
946,199.050444856,202.260774022
947,201.781899476,206.867265305
948,202.40935917,204.731721464
949,206.707559766,204.829369458
950,206.948810317,202.007653231
951,207.536782676,203.455711267
952,204.465741479,204.518637231
953,205.459369012,205.529505464
954,205.553199843,203.836156031
955,196.634649447,210.601007658
956,196.95106646,212.063812836
957,196.899624921,213.510031183
958,196.954670509,215.150305041
959,227.088195292,214.712519286
960,226.210092861,215.513221815
961,217.955943947,199.367016046
962,231.809094593,198.029975335
963,231.973947687,202.468708305
964,229.388739104,217.40894219
965,231.369549879,217.752441338
966,228.46899643,220.31609534
967,187.213171569,204.670799658
968,172.188484136,196.799242398
969,174.813853532,203.323276141
970,185.489909681,203.631132723
971,178.497627543,199.240896116
972,194.297396972,199.487192501
973,176.107877806,202.757911034
974,180.385159864,204.901477147
975,185.40561143,213.295844488
976,203.856936903,215.226131679
977,203.284124609,193.336342757
978,200.170842441,199.681308687
979,210.954045494,207.573449928
980,212.389929779,206.031968278
981,212.94759926,203.817676857
982,210.5657175,206.441035763
983,207.275126198,207.867442804
984,208.144186202,206.705679571
985,209.378184981,204.332560659
986,210.175860821,202.380492806
987,211.846220217,201.815292594
988,209.374213564,206.853875987
989,208.464725069,207.360624511
990,209.369725626,205.793001165
991,196.11747558,221.11106376
992,197.335480604,221.045866062
993,197.37190713,219.353279281
994,205.630356532,216.357600622
995,206.204649495,217.641755312
